adview,views,likes,dislikes,comment,Total_Time,category_enc
4,511438,5855,529,314,4.45,3
1,243009,821,7,85,4.866666666666667,6
1,433724,701,45,10,10.05,3
1,399467,1048,180,145,142.05,3
1,72049,1859,31,671,8.45,0
6,261614,121,78,19,39.61666666666667,3
2,35862,50,2,2,17.033333333333335,3
4,1114667,525,305,23,2.55,3
14,560652,1016,196,95,22.666666666666668,3
16,4417750,21212,6067,1527,5.033333333333333,6
2,80668,631,25,76,4.583333333333333,2
1,4852,43,0,33,17.95,4
1687,171448,149,4,44,19.4,3
7,632,4,0,0,0.35,3
10,1341876,2191,105,206,3.3666666666666667,6
4,6650767,61792,740,4780,5.75,1
1,46944,152,27,23,91.13333333333333,6
3,16230,749,40,195,7.133333333333334,3
6,43861,231,5,25,4.0,2
5,425953,6513,206,1312,6.816666666666666,5
1,209081,124,39,6,119.65,3
1,3787,132,9,45,2.5666666666666664,1
1,715738,4569,138,556,3.5666666666666664,1
1,1041,2,1,1,1.0166666666666666,3
11,1185443,13544,3457,3561,7.466666666666667,3
25,787026,1873,308,171,19.666666666666668,6
1,491738,817,115,76,150.06666666666666,3
3,87604,125,11,5,8.05,3
25,143266,320,21,66,2.6833333333333336,0
17,2718145,31101,645,5071,7.433333333333334,1
1,73427,1806,7,336,13.65,4
2,30259,454,32,274,4.35,3
2,39803,220,5,8,16.6,6
7,142533,452,19,27,12.166666666666666,3
4,223879,254,25,15,9.116666666666667,3
2,35810,673,5,38,10.85,5
5,1895040,6084,644,172,4.1,3
1,656479,4473,502,865,3.033333333333333,1
1,359093,1431,48,268,6.683333333333334,0
1,312793,1470,83,572,4.066666666666666,4
5,4419311,3204,1322,185,3.716666666666667,7
1,19212,104,4,8,3.25,1
2,1381,32,2,3,3.4,6
8,138050,443,63,39,77.15,6
1,80088,105,5,29,9.033333333333333,3
3,99819,43,13,5,2.5833333333333335,3
7,627292,2329,230,229,8.416666666666666,4
2929,4139,65,0,26,4.233333333333333,3
14,899472,7864,122,1337,2.7666666666666666,4
1,217276,503,88,121,15.05,7
16,3949469,25566,1358,4255,6.15,6
1,8846,137,3,7,1.65,2
1,563,4,0,4,9.25,6
19,303874,135,43,9,16.383333333333333,6
3,283387,224,27,3,30.35,4
11,51384,132,6,12,14.066666666666666,1
8,2462561,1771,664,90,3.216666666666667,2
1,15930,7,4,0,15.216666666666667,4
1,3096,69,1,5,6.916666666666667,3
1,21341,422,6,86,7.183333333333334,6
3,371314,2765,198,660,3.6166666666666667,3
1,14161,181,2,6,3.8,3
1,42318,113,6,10,3.55,3
1,38210,43,5,0,1.9333333333333333,3
4,1430600,13867,347,741,9.783333333333333,3
1,64466,161,13,23,129.98333333333335,4
3,63015,363,15,42,1.3833333333333333,4
1,455101,2260,77,451,8.5,0
1,129869,787,49,12,5.516666666666667,6
1,43032,79,3,48,3.8,0
7,1020381,3007,769,2672,11.183333333333334,3
1,8682,26,2,2,5.933333333333334,5
2,2708891,127170,2398,852,3.7333333333333334,3
1,52198,175,9,4,4.816666666666666,3
1,45163,249,557,901,14.4,3
1,23062,83,6,5,1.6333333333333333,2
19,4033136,14200,307,1390,4.1,6
2,966367,2077,422,644,12.7,7
35043,55288,33,1,0,0.36666666666666664,4
2,438785,1318,146,46,2.65,3
9,1131602,2170,265,516,39.516666666666666,3
6,950944,5214,925,7084,10.483333333333333,3
2620,54590,67,14,11,13.15,4
1,1136517,1439,176,201,0.5833333333333334,4
5408,7315,28,6,3,0.26666666666666666,4
1,812825,2793,154,319,5.616666666666667,3
1,45518,142,17,18,14.816666666666666,3
1,697859,2924,241,180,5.583333333333333,5
1,96884,29,16,1,11.0,3
2,379724,385,147,18,2.3833333333333333,7
5,45331,136,6,16,2.5166666666666666,2
2408,5772,76,0,10,5.133333333333334,6
1,114537,472,39,118,3.3833333333333333,7
8,107491,676,8,37,6.116666666666666,1
1,1039,6,0,4,4.983333333333333,2
2,272078,530,30,26,4.783333333333333,3
2,726,10,0,0,0.75,3
26,616379,3164,49,651,3.3833333333333333,6
9,109068,132,18,20,9.516666666666667,5
26,1734941,9246,850,541,1.8666666666666667,3
1,566940,548,130,77,4.566666666666666,3
1,908536,753,234,104,6.366666666666666,3
1,726331,587,50,213,7.133333333333334,1
2787,3482,41,0,7,3.9,3
1,1016669,14249,78,881,2.0,6
2,174656,988,116,446,2.85,3
167,271123,660,75,330,12.1,3
66,251876,324,45,28,24.716666666666665,3
1,855,0,2,1,1.25,3
5,852691,1525,242,243,5.416666666666667,6
2,51411,354,30,119,3.533333333333333,5
224,5453525,4143,1860,552,10.033333333333333,3
138,7247213,65467,1766,4562,10.333333333333334,3
1,262109,3056,95,159,6.9,1
1,7264,24,0,5,10.0,6
1,177414,114,28,2,8.95,2
2,115393,459,17,12,2.0166666666666666,2
4,191786,112,24,3,1.6333333333333333,3
71,279282,657,46,56,10.783333333333333,3
1,180404,53,44,1,0.45,7
1,1916,6,0,1,0.35,4
2877,5075,26,2,1,2.283333333333333,6
2,246120,379,38,0,4.183333333333334,3
1,356,1,0,0,4.983333333333333,3
1,336595,815,52,33,1.2833333333333332,3
1087,11294,83,4,8,54.7,6
1,846245,4090,148,876,3.5,3
1,1611655,5812,348,651,17.6,1
2,76430,74,20,6,1.2166666666666668,3
1,658019,4778,396,313,13.583333333333334,4
3,29417,80,5,178,11.683333333333334,4
1,34962,1241,6,95,4.4,3
16,427297,854,61,73,4.283333333333333,3
1,466663,749,46,117,5.216666666666667,3
2,252108,208,94,5,15.916666666666666,3
6,222739,2425,137,2076,11.033333333333333,3
20,539381,1682,214,232,50.483333333333334,6
1,57014,181,5,7,4.483333333333333,3
2,412791,471,89,11,0.6333333333333333,3
1,93132,146,12,10,9.916666666666666,3
5684,139842,1662,53,265,5.6,5
1,393228,2040,112,70,0.8,3
11,1737011,1003,276,43,3.8666666666666667,6
1,332533,515,47,99,2.8166666666666664,4
2,105699,198,14,20,6.683333333333334,3
31,15014236,18520,3770,1794,60.666666666666664,3
2,96697,1623,18,44,3.5,6
1,116320,1114,60,100,5.45,4
9,461810,449,73,13,62.8,3
1,29392,26,3,0,5.666666666666667,6
4,493046,120,91,11,12.3,3
2,2544057,20707,1663,9253,18.45,5
3,779007,2804,235,178,3.4166666666666665,3
1,1079692,11261,451,975,7.333333333333333,3
8,276336,5635,51,740,7.433333333333334,1
5,197169,238,46,46,1.9666666666666668,0
1,85982,1231,157,333,11.7,3
10,347821,3127,98,475,0.13333333333333333,1
1,292291,390,78,19,62.0,3
186,3982304,18428,411,5411,3.3833333333333333,4
6,880625,1500,167,47,3.216666666666667,3
1,46609,84,11,1,25.566666666666666,7
2,36605,667,35,102,16.4,5
3,656624,853,416,94,140.11666666666667,4
1,18144,31,4,3,10.666666666666666,4
1,54418,401,21,26,4.116666666666666,6
1,149,1,0,0,0.5166666666666667,3
1,23354,28,4,0,22.283333333333335,3
1,983777,1091,509,162,79.2,3
3,295391,384,65,41,3.066666666666667,3
1,52504,32,5,0,2.8166666666666664,3
1,885,0,0,0,23.233333333333334,4
1,535,8,0,1,3.283333333333333,6
3,153218,46,39,0,15.55,4
48,59598,125,7,5,5.716666666666667,6
1,270802,1027,111,112,5.333333333333333,3
3,989705,13734,993,1447,7.283333333333333,4
1,7422,49,5,4,18.55,4
1,77147,348,87,189,57.483333333333334,2
1,49658,20,7,1,0.7833333333333333,3
2,269256,366,66,11,17.75,3
1,65006,642,20,24,1.2,3
1,60898,161,8,9,20.716666666666665,3
1,7274,29,7,10,1.0,3
4642,12346,17,1,0,6.533333333333333,3
1,675863,3208,439,1210,3.2333333333333334,5
1,874,2,2,0,1.5166666666666666,3
23,268833,491,28,60,2.1,3
2,5377,13,3,2,35.416666666666664,5
1,514763,1011,100,119,16.1,1
11,299429,567,75,74,38.7,3
2,3464,5,1,0,1.85,3
1,134606,182,18,13,10.366666666666667,3
2,133875,1029,23,164,3.75,3
5,697712,13022,246,1251,30.25,7
3,177977,269,57,24,26.283333333333335,3
4,43365,80,6,15,11.116666666666667,4
1,33976,34,19,0,2.2666666666666666,6
1,158,20,1,32,11.233333333333333,5
1,867685,263,252,24,1.3833333333333333,3
2,37811,549,7,21,4.083333333333333,4
1,250701,1097,212,458,7.65,3
2,2397044,58311,6017,6144,5.866666666666667,5
1,611242,1575,185,160,65.0,7
6,53465,47,11,6,2.9833333333333334,0
1,303980,1273,69,162,4.716666666666667,3
1,34267,70,2,5,9.0,3
1,17792,114,3,25,26.5,0
1,205268,197,7,5,2.8833333333333333,3
1,6144,18,2,2,1.6833333333333333,3
1,763778,594,177,114,3.5833333333333335,3
26,1434549,2886,690,255,10.366666666666667,3
1,11167,6,0,1,1.7666666666666666,3
2,1046440,1121,534,39,1.4166666666666667,6
722,2190,7,2,0,6.016666666666667,3
2,471095,2446,113,1180,4.783333333333333,4
963,1242,3,0,0,5.116666666666666,3
8,183472,588,22,32,11.083333333333334,3
1,863852,1605,216,148,3.05,4
13,156211,454,15,32,22.1,3
4,145843,137,46,6,21.166666666666668,2
3,1119574,4226,219,338,2.0833333333333335,3
1,203019,7859,159,197,10.533333333333333,3
1,22265,155,6,12,10.433333333333334,4
2,900469,1324,96,95,3.6666666666666665,6
1,7755,29,22,16,5.516666666666667,3
5,8069,23,2,1,2.3166666666666664,2
1,3509,0,0,0,1.7166666666666668,3
1,325065,617,80,28,16.333333333333332,3
1,32205,20,4,4,1.35,3
1,260949,510,137,22,3.3166666666666664,4
11,295599,1054,36,90,11.716666666666667,3
11,4354,10,0,1,10.316666666666666,3
2,731282,2630,328,149,6.333333333333333,7
1,35832,67,10,1,24.433333333333334,6
2,690121,720,128,21,1.5833333333333335,7
9,846929,649,310,56,37.21666666666667,3
1,705638,1541,166,127,10.1,3
1,845320,4396,219,202,1.8333333333333335,3
2,2899,17,0,1,6.016666666666667,3
3,165294,1057,114,210,7.383333333333334,5
3,70830,165,7,6,5.066666666666666,6
2,22353,23,9,1,48.75,2
1,589852,709,77,108,10.583333333333334,7
5,498909,1404,102,50,6.466666666666667,3
5,1418331,4156,265,216,10.316666666666666,4
19,1224550,600,195,56,3.966666666666667,6
1,715951,2947,106,123,3.2666666666666666,6
1,4746,12,3,0,10.183333333333334,3
35,6918395,39430,1743,3940,3.65,3
1,43500,407,24,93,4.316666666666666,6
1,13134,32,0,1,5.166666666666667,3
1,186889,375,14,10,2.85,3
1,320,1,0,0,0.5166666666666667,3
3,110823,349,50,18,0.5,3
3,7200,135,11,39,4.85,1
1,51534,66,8,5,148.05,3
6,688600,2492,579,1781,11.266666666666667,3
1,7520,463,4,38,1.7833333333333332,1
5682,9029,27,2,0,1.7,0
1,223,1,0,0,1.45,3
1,163066,828,111,57,61.46666666666667,6
5,274,8,0,4,11.0,3
32248,38580,52,8,1,2.1,3
8,1764825,10506,336,1145,38.083333333333336,3
1,98702,260,14,23,10.4,3
3,74087,562,35,31,7.35,2
1,28484,41,21,32,10.166666666666666,2
1,191275,373,19,4,1.5666666666666667,3
3,307992,246,54,19,147.96666666666667,3
1622,973378,1228,351,135,2.8333333333333335,3
1,2828832,43270,3379,3158,6.55,5
2,196595,504,34,13,6.433333333333334,6
33,1322913,11917,423,1536,4.583333333333333,5
27,238667,4669,83,3185,5.05,1
40,1356695,2299,275,106,10.516666666666667,3
1,155267,4882,30,345,6.4,2
1,145761,468,134,464,7.316666666666666,3
1,698,14,0,0,30.016666666666666,3
1,109851,746,69,587,7.333333333333333,1
1,109244,1202,21,221,16.4,4
1,208880,681,23,16,9.566666666666666,3
1,51207,22,2,9,4.5,3
1,11866,43,3,5,15.883333333333333,7
3,766532,2598,345,152,2.283333333333333,4
1,1734324,4639,362,230,7.183333333333334,4
1,194432,8829,96,655,2.8666666666666667,3
1,154563,941,29,37,1.1833333333333333,3
1,594050,3945,454,2885,10.883333333333333,3
9,217427,230,78,28,27.983333333333334,3
6,3939971,10556,1053,1194,2.7333333333333334,2
6,382394,128,112,5,2.9333333333333336,3
1,523776,5714,520,1873,5.066666666666666,5
3,7886,140,2,23,6.416666666666667,5
6,2296789,928,567,33,2.1166666666666667,3
2,28872,70,4,9,41.45,3
1,55247,348,11,9,13.466666666666667,2
1,18066,261,4,28,8.95,5
1,1113120,4142,368,441,1.65,2
38,118439,858,38,59,2.6333333333333333,4
1,984243,1184,205,57,10.4,3
11,35003,293,17,23,3.783333333333333,5
1,897135,4835,473,689,3.25,3
1,62560,8295,54,4917,3.6666666666666665,3
1,3908,21,0,5,3.35,3
2,87301,721,23,173,7.433333333333334,0
7,83361,145,34,15,176.38333333333333,6
4336,356617,4799,78,886,4.016666666666667,1
3,448323,1796,107,116,6.183333333333334,6
2,471104,3233,69,174,2.6,6
1,129112,477,21,15,0.85,7
1,31034,624,7,201,7.666666666666667,4
1,37658,15,3,3,3.0833333333333335,0
1,486310,1581,106,203,9.05,2
10,2234219,5156,661,1463,2.4833333333333334,7
11169,17645,57,6,3,13.533333333333333,3
524,1589,2,5,5,2.216666666666667,3
915,3266806,1279,718,170,1.6833333333333333,3
1,521502,1396,173,37,21.166666666666668,6
324,222781,522,32,24,1.2833333333333332,3
1,101835,658,10,34,1.2833333333333332,1
2,170319,137,53,21,42.766666666666666,3
1,466,3,0,0,2.783333333333333,3
1,117138,113,28,6,127.5,4
1,193686,1020,22,13,1.8166666666666667,2
12,99232,1126,26,178,3.5166666666666666,3
1,1046,3,1,0,12.683333333333334,3
1,49694,76,22,6,58.95,3
2,100111,272,11,19,21.783333333333335,3
1,6823,24,1,3,9.1,3
1,469954,10035,313,8673,6.183333333333334,3
2,459371,2721,45,86,1.5,2
4,1192302,805,239,272,8.283333333333333,4
6,85922,336,12,182,13.566666666666666,3
3,22960,59,2,5,146.71666666666667,3
2,977617,13677,933,1021,24.6,7
1,29615,23,8,4,13.916666666666666,3
1,16019,506,17,348,20.533333333333335,3
1,93782,236,32,461,14.083333333333334,3
1,2795,12,1,1,2.5666666666666664,3
1,33377,80,6,10,4.8,3
3,198886,303,78,25,148.3,3
3,726395,906,64,16,7.533333333333333,3
1,21506,47,9,6,2.1666666666666665,3
1,21589,118,1,2,3.65,3
6,958508,3184,205,736,48.46666666666667,6
3,733363,5737,173,304,3.8166666666666664,6
1,988463,747,348,174,69.26666666666667,3
104,642393,896,85,26,1.7,3
17,1001362,22189,718,10139,4.75,3
22,3742456,19460,704,1927,72.98333333333333,6
12,889947,970,240,138,142.3,6
20,353475,983,41,36,15.45,1
3,1149811,1352,572,155,8.533333333333333,3
1,360555,1113,50,17,4.9,7
170,5967838,2975,1261,126,3.2,3
1,3071508,26548,423,2809,9.05,1
3,1931585,1368,453,161,93.66666666666666,3
48,670576,6009,422,1231,4.783333333333333,5
2,158634,1093,29,95,17.116666666666667,3
1,1825123,720,282,75,2.966666666666667,4
35,360501,700,42,38,6.85,3
1,194042,661,62,189,6.783333333333333,3
90,2343661,18499,1086,2898,3.5666666666666664,5
2,286,4,0,0,1.4166666666666667,5
1,318993,7215,49,200,6.2,2
1,6020,32,3,15,4.816666666666666,6
3,1335905,1410,174,50,1.0,3
3,8704,46,2,1,1.5833333333333335,1
1,99961,374,26,15,25.083333333333332,4
2,143984,121,30,12,150.86666666666667,3
1,269830,1819,80,112,11.05,4
7,2012135,11843,1971,4637,6.066666666666666,2
1,69345,56,18,1,1.9,2
2,493805,890,123,139,4.233333333333333,3
2279,2671,5,0,0,4.133333333333334,6
1,6818,19,0,1,2.0166666666666666,3
7,1711,4,0,0,0.26666666666666666,4
2,203,0,0,0,3.533333333333333,3
1,463,12,0,1,4.05,3
14,110048,182,11,12,18.483333333333334,3
1,2299,1,1,0,0.26666666666666666,3
3,504577,3956,129,1483,600.5333333333333,6
1,109506,108,12,25,6.516666666666667,6
1,149868,32,51,0,15.733333333333333,4
250,1618584,18302,366,3281,6.866666666666667,1
107,816,6,0,2,4.083333333333333,6
2,57421,88,8,14,10.666666666666666,4
2,1974,28,1,4,2.6666666666666665,3
3,3839,60,0,2,1.0166666666666666,5
2,860,11,0,10,4.55,3
2,9558,20,6,0,15.866666666666667,3
3,474358,2781,525,1812,1.6166666666666667,3
1,132946,1042,23,139,49.31666666666667,6
2,1434301,8837,1011,895,52.9,6
1,6234,31,3,1,5.333333333333333,7
3,111523,535,39,44,1.7333333333333334,3
18,945770,3040,194,142,8.283333333333333,3
1,818181,7827,203,1088,9.3,5
12,612203,5152,458,1339,11.9,1
3,30900,358,9,8,5.383333333333334,6
18,438441,333,134,102,39.8,3
28,6083650,18903,2956,1544,3.9,3
1,3603150,17626,1083,336,6.616666666666667,6
1,72836,202,10,3,2.4,2
1,17221,57,5,10,71.23333333333333,6
4,2520823,4855,3180,288,55.1,4
2,229101,250,80,24,144.33333333333331,4
1,2431,11,1,0,2.5166666666666666,3
1531,224975,1743,392,190,4.35,6
7,953068,458,142,111,1.4333333333333333,7
2,658257,556,124,53,2.283333333333333,3
5,114396,547,119,66,5.366666666666666,3
1,146866,131,19,1,1.15,3
1,38042,33,16,0,6.116666666666666,3
1,76417,151,16,18,4.783333333333333,6
41,1083804,1292,320,59,11.4,3
1,239,0,0,0,22.45,7
1,167475,122,25,28,1.6,7
1,669,0,0,0,1.3333333333333333,3
1,914,7,0,0,0.5333333333333333,3
